,"G","h","b","tw","tf","r","A","hi","d","fi","pmin","pmax","AL","AG","Iy","Wel.y","Wpl.y","iy","Avz","Iz","Wel.z","Wpl.z"," iz","ss","It","Iw",1,2,3,4
"HE 220 AA",40.4,205,220,6,8.5,18,51.5,188,152,27,98,118,1.247,30.87,4170,406.9,445.5,9,17.63,1510,137.3,209.3,5.42,44.09,15.93,145.6,200,242,122,165
"HE 220 A",50.5,210,220,7,11,18,64.3,188,152,27,98,118,1.255,24.85,5410,515.2,568.5,9.17,20.67,1955,177.7,270.6,5.51,50.09,28.46,193.3,161,195,99,134
"HE 220 B",71.5,220,220,9.5,16,18,91,188,152,27,100,118,1.27,17.77,8091,735.5,827,9.43,27.92,2843,258.5,393.9,5.59,62.59,76.57,295.4,115,140,72,97
"HE 220 M",117,240,226,15.5,26,18,149.4,188,152,27,108,124,1.322,11.27,14600,1217,1419,9.89,45.31,5012,443.5,678.6,5.79,88.59,315.3,572.7,73,88,47,62
"HE 240 AA",47.4,224,240,6.5,9,21,60.4,206,164,27,104,138,1.359,28.67,5835,521,570.6,9.83,21.54,2077,173.1,264.4,5.87,49.1,22.98,239.6,185,225,114,154
"HE 240 A",60.3,230,240,7.5,12,21,76.8,206,164,27,104,138,1.369,22.7,7763,675.1,744.6,10.05,25.18,2769,230.7,351.7,6,56.1,41.55,328.5,147,178,91,122
"HE 240 B",83.2,240,240,10,17,21,106,206,164,27,108,138,1.384,16.63,11260,938.3,1053,10.31,33.23,3923,326.9,498.4,6.08,68.6,102.7,486.9,108,131,68,91
"HE 240 M",157,270,248,18,32,21,199.6,206,164,27,116,146,1.46,9.318,24290,1799,2117,11.03,60.07,8153,657.5,1006,6.39,106.6,627.9,1152,61,73,39,52
"HE 260 AA",54.1,244,260,6.5,9.5,24,69,225,177,27,110,158,1.474,27.22,7981,654.1,714.5,10.76,24.75,2788,214.5,327.7,6.36,53.62,30.31,382.6,176,214,108,146
"HE 260 A",68.2,250,260,7.5,12.5,24,86.8,225,177,27,110,158,1.484,21.77,10450,836.4,919.8,10.97,28.76,3668,282.1,430.2,6.5,60.62,52.37,516.4,141,171,88,117
"HE 260 B",93,260,260,10,17.5,24,118.4,225,177,27,114,158,1.499,16.12,14920,1148,1283,11.22,37.59,5135,395,602.2,6.58,73.12,123.8,753.7,105,127,66,88
"HE 260 M",172,290,268,18,32.5,24,219.6,225,177,27,122,166,1.575,9.133,31310,2159,2524,11.94,66.89,10450,779.7,1192,6.9,111.1,719,1728,59,72,39,51
"HE 280 AA",61.2,264,280,7,10,24,78,244,196,27,110,178,1.593,26.01,10560,799.8,873.1,11.63,27.52,3664,261.7,399.4,6.85,55.12,36.22,590.1,168,204,104,139
"HE 280 A",76.4,270,280,8,13,24,97.3,244,196,27,112,178,1.603,20.99,13670,1013,1112,11.86,31.74,4763,340.2,518.1,7,62.12,62.1,785.4,136,165,84,113
"HE 280 B",103,280,280,10.5,18,24,131.4,244,196,27,114,178,1.618,15.69,19270,1376,1534,12.11,41.09,6595,471,717.6,7.09,74.62,143.7,1130,102,123,64,85
"HE 280 M",189,310,288,18.5,33,24,240.2,244,196,27,122,186,1.694,8.984,39550,2551,2966,12.83,72.03,13160,914.1,1397,7.4,112.6,807.3,2520,59,71,38,50
"HE 300 AA",69.8,283,300,7.5,10.5,27,88.9,262,208,27,116,198,1.705,24.42,13800,975.6,1065,12.46,32.37,4734,315.6,482.3,7.3,60.13,49.35,877.2,158,192,97,131
"HE 300 A",88.3,290,300,8.5,14,27,112.5,262,208,27,118,198,1.717,19.43,18260,1260,1383,12.74,37.28,6310,420.6,641.2,7.49,68.13,85.17,1200,126,153,78,105
